BOTTINEAU,Theft From Motr Vehc,1
CENTRAL,Burglary Of Dwelling,1
CENTRAL,Theft-motr Veh Parts,1
COMO,Asslt W/dngrs Weapon,1
COMO,Burglary Of Dwelling,1
DOWNTOWN WEST,Burglary Of Business,1
DOWNTOWN WEST,Other Theft,1
DOWNTOWN WEST,Shoplifting,1
EAST HARRIET,Burglary Of Dwelling,1
EAST ISLES,Theft From Motr Vehc,1
FOLWELL,Burglary Of Dwelling,1
FULTON,Burglary Of Dwelling,1
FULTON,Other Theft,1
HIAWATHA,Theft From Motr Vehc,1
JORDAN,Burglary Of Dwelling,1
JORDAN,Other Theft,1
KEEWAYDIN,Other Theft,1
LORING PARK,Motor Vehicle Theft,1
LORING PARK,Other Theft,1
LOWRY HILL,Theft From Motr Vehc,1
LOWRY HILL EAST,Burglary Of Dwelling,1
LOWRY HILL EAST,Theft From Motr Vehc,1
LYNDALE,Theft From Motr Vehc,1
LYNDALE,Theft-motr Veh Parts,1
MARCY HOLMES,Other Theft,1
MARCY HOLMES,Other Vehicle Theft,1
MARCY HOLMES,Theft By Swindle,1
MIDTOWN PHILLIPS,Asslt W/dngrs Weapon,1
MIDTOWN PHILLIPS,Theft From Motr Vehc,1
NEAR - NORTH,Other Theft,1
NEAR - NORTH,Robbery Of Person,1
SHERIDAN,Theft From Motr Vehc,1
STANDISH,Theft By Swindle,1
TANGLETOWN,Theft From Motr Vehc,1
WEBBER - CAMDEN,Other Theft,1
WHITTIER,Motor Vehicle Theft,1
WINDOM PARK,Theft From Motr Vehc,1
