THEFT/OTHER,Cluster 11
THEFT/OTHER,Cluster 16
THEFT/OTHER,Cluster 17
THEFT/OTHER,Cluster 18
THEFT/OTHER,Cluster 2
THEFT/OTHER,Cluster 21
THEFT/OTHER,Cluster 22
THEFT/OTHER,Cluster 26
THEFT/OTHER,Cluster 3
THEFT/OTHER,Cluster 31
THEFT/OTHER,Cluster 34
THEFT/OTHER,Cluster 36
THEFT/OTHER,Cluster 37
THEFT/OTHER,Cluster 39
THEFT/OTHER,Cluster 4
THEFT/OTHER,Cluster 6
THEFT/OTHER,Cluster 7
THEFT/OTHER,Cluster 8
THEFT/OTHER,Cluster 9
ROBBERY,Cluster 10
ROBBERY,Cluster 16
ROBBERY,Cluster 2
ROBBERY,Cluster 22
ROBBERY,Cluster 23
ROBBERY,Cluster 26
ROBBERY,Cluster 3
ROBBERY,Cluster 33
ROBBERY,Cluster 39
ROBBERY,Cluster 8
MOTOR VEHICLE THEFT,Cluster 18
MOTOR VEHICLE THEFT,Cluster 22
MOTOR VEHICLE THEFT,Cluster 23
MOTOR VEHICLE THEFT,Cluster 25
MOTOR VEHICLE THEFT,Cluster 4
MOTOR VEHICLE THEFT,Cluster 6
THEFT F/AUTO,Cluster 12
THEFT F/AUTO,Cluster 18
THEFT F/AUTO,Cluster 2
THEFT F/AUTO,Cluster 20
THEFT F/AUTO,Cluster 22
THEFT F/AUTO,Cluster 23
THEFT F/AUTO,Cluster 25
THEFT F/AUTO,Cluster 26
THEFT F/AUTO,Cluster 27
THEFT F/AUTO,Cluster 28
THEFT F/AUTO,Cluster 30
THEFT F/AUTO,Cluster 33
THEFT F/AUTO,Cluster 37
THEFT F/AUTO,Cluster 38
THEFT F/AUTO,Cluster 39
THEFT F/AUTO,Cluster 6
THEFT F/AUTO,Cluster 9
ASSAULT W/DANGEROUS WEAPON,Cluster 17
ASSAULT W/DANGEROUS WEAPON,Cluster 18
ASSAULT W/DANGEROUS WEAPON,Cluster 2
ASSAULT W/DANGEROUS WEAPON,Cluster 25
ASSAULT W/DANGEROUS WEAPON,Cluster 26
ASSAULT W/DANGEROUS WEAPON,Cluster 33
ASSAULT W/DANGEROUS WEAPON,Cluster 38
ASSAULT W/DANGEROUS WEAPON,Cluster 4
BURGLARY,Cluster 1
BURGLARY,Cluster 39
HOMICIDE,Cluster 21
